#OTU ID	2010-RvD-d1-001	2010-RvD-d1-004	2010-RvD-d1-007	2010-RvD-d1-010	2010-RvD-d1-013	2010-RvD-d1-016	2010-RvD-d1-019	2010-RvD-d1-022	2010-RvD-d1-025	2010-RvD-d1-028	2010-RvD-d1-031	2010-RvD-d1-034	2010-RvD-d1-037	2010-RvD-d1-040	2010-RvD-d1-043	2010-RvD-d1-046	2010-RvD-d1-049	2010-RvD-d1-052	2010-RvD-d1-055	2010-RvD-d1-058	2010-RvD-d1-061	2010-RvD-d1-064	2010-RvD-d1-067	2010-RvD-d1-070	2010-RvD-d1-073	2010-RvD-d1-076	2010-RvD-d1-079	2010-RvD-d1-082	2010-RvD-d1-085	2010-RvD-d1-088	2010-RvD-d1-094	2010-RvD-d1-097	2010-RvD-d1-100	2010-RvD-d1-103	2010-RvD-d1-106	2010-RvD-d1-109	2010-RvD-d1-112	2010-RvD-d1-115	2010-RvD-d1-118	2010-RvD-d1-121	2010-RvD-d1-127	2010-RvD-d1-130	2010-RvD-d1-133	2010-RvD-d1-136	2010-RvD-d1-139	2010-RvD-d1-142	2010-RvD-d1-145	2010-RvD-d1-148	2021-RvD-d1-208	Wasserkontrolle1	Wasserkontrolle2	Wasserkontrolle3
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__tuberculostearicum	0.0	0.0	0.0	0.0	0.04990162761581113	0.0	0.07510729613733906	0.0	0.0	0.0	0.04946808510638298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2751212751212751	0.0	0.056776556776556776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25658409387222947	0.0	0.0	0.0	0.0	0.0	0.0	0.05593607305936073	0.0	0.0	0.0	0.09386241629309867	0.13062665489849956	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__nonliquefaciens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09447569594692053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14920124585552094	0.0	0.0	0.0	0.0	0.0	0.0	0.026419136022848982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__accolens	0.5210267936357722	0.2741712291679201	0.0	0.5297145885381179	0.06403147916294044	0.0	0.0441106342393896	0.5892909679317446	0.38343189576421943	0.7690959544325983	0.1651063829787234	0.029668788434566835	0.13203819558775107	0.44474741676234214	0.5358260450934766	0.18277927875014682	0.0017413619283292092	0.2736749698233293	0.25572519083969464	0.20580950236433235	0.0	0.09052546970762584	0.09940984940984941	0.17045559988865175	0.0	0.5955104870861501	0.3398648648648649	0.3573577876486603	0.6254016422706177	0.20601503759398496	0.684991599775994	0.5411332737918031	0.4837260849276715	0.07578441295546559	0.0	0.7417369790014591	0.2113801741619945	0.26504509832914386	0.6295374006321234	0.13870541611624834	0.6658930720302562	0.0	0.26336669921875	0.0674097191261703	0.28730445246690733	0.2015053406386629	0.0	0.26947605352007004	0.5022952761735525	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__epidermidis	0.03264919855681079	0.3347572348234162	0.2115531752104055	0.06677265500794913	0.371668753353604	0.014945652173913044	0.24332379589890318	0.1285672256546043	0.0	0.21286694902877173	0.23441489361702128	0.08587765670514619	0.0	0.03889207807118255	0.27706009788975366	0.07835075766474803	0.011914581614884063	0.08131241084165478	0.5472555434387495	0.0	0.09826749826749827	0.29558926956696474	0.13044363044363044	0.10503850793356222	0.5393258426966292	0.2389495579823193	0.043243243243243246	0.16119787935234275	0.04052124241342378	0.23984962406015037	0.09100242673137951	0.11799146571400218	0.3113042463835744	0.24436993927125505	0.24511082138200782	0.14020173824779547	0.15519503757604677	0.10291290847257134	0.03898094052293841	0.22655217965653898	0.0	0.4832572298325723	0.10162353515625	0.3321444493981275	0.14455475330926595	0.1924843654878521	0.10517799352750809	0.2499687382768538	0.2704723826447505	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__acnes	0.028982078429053055	0.18422477588592745	0.5030604437643458	0.18578242107653872	0.16031717641447565	0.5047282608695652	0.2327730090605627	0.040305972344807296	0.06759940381749123	0.018037096538630056	0.033829787234042556	0.05378142194411479	0.05745801778070464	0.17257462686567165	0.08384819064430715	0.40772935510395864	0.078544588030428	0.07692307692307693	0.14376590330788805	0.0	0.46112266112266115	0.018386416155932884	0.33557183557183556	0.554143082490489	0.4572593082176691	0.12939850927370428	0.05962837837837838	0.4225533744089411	0.011067475901463763	0.3533834586466165	0.03294754526787381	0.10930832589064206	0.1403989734017732	0.038777834008097166	0.1681877444589309	0.0637568990674364	0.18704521054515091	0.08235989945290552	0.23120390767167895	0.10377220020548951	0.0	0.2878614916286149	0.10626220703125	0.1212661613909942	0.07069795427196149	0.13166196247717085	0.06751985878199471	0.09434788045517069	0.17199763068265955	0.0	0.0	0.14203137902559868
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;__	0.0003548825930088129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22489298649983536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003009027081243731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1457796114835826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__macginleyi	0.0	0.0	0.18171384850803365	0.0	0.0	0.46951086956521737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11886386639676114	0.0	0.0	0.0	0.2899600768889546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptoniphilaceae;g__Finegoldia;s__magna	0.08854320695569882	0.040551110041513745	0.0	0.01377848436671966	0.07726703630835272	0.0	0.023843586075345733	0.06060606060606061	0.008942737631616904	0.0	0.18829787234042553	0.13135181788758227	0.0	0.045924225028702644	0.02800288855010832	0.14871373193938683	0.009073412152873246	0.02622627016350269	0.0	0.004616077460031525	0.0	0.03566763789812117	0.05708180708180708	0.013454579196436856	0.0	0.010053735482752643	0.0	0.0	0.10433773652267048	0.0	0.0	0.037114220502133574	0.017790480634624357	0.011702935222672064	0.05521512385919165	0.0	0.05511153524991053	0.04243678840751146	0.029690642658749163	0.19873770732423307	0.010056730273336771	0.013318112633181126	0.15667724609375	0.028176549264378067	0.12560168471720817	0.0	0.0	0.08521945729648618	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__avidum	0.030165020405749098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04595744680851064	0.18642787787247816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03447453179052845	0.0	0.0	0.0	0.0246690734055355	0.0	0.0499267578125	0.0	0.0	0.0	0.0	0.029823683881455544	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptoniphilaceae;g__Peptoniphilus;s__sp._HMT_187	0.12539184952978055	0.09969315925636243	0.02410099464422341	0.026421379362555834	0.0	0.0	0.026406771578445398	0.08951162106501913	0.02634742054906486	0.0	0.1804255319148936	0.22364872154493473	0.0	0.07785591274397244	0.06587498997031212	0.0	0.024654018880029327	0.0	0.053071610323518724	0.005629362756136005	0.0	0.15030644026926554	0.1696174196174196	0.1228542265936717	0.0	0.0	0.0	0.006591202177962459	0.09684041413780793	0.0	0.0	0.0	0.023915072328511432	0.009994939271255061	0.20984354628422425	0.007105246463236694	0.14958845282118574	0.06616885997338459	0.06292500718322	0.26221928665786	0.005501117414474815	0.09398782343987823	0.16058349609375	0.0	0.08491275571600482	0.2488792960318778	0.0	0.18907090158809553	0.054494298830149564	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__simulans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06366473473027195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__lugdunensis	0.0	0.0	0.0	0.0	0.0	0.0	0.22216261325703385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03898322113935497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05612858861956335	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__granulosum	0.00768912284852428	0.00944588171590157	0.0	0.0	0.0	0.0	0.03469241773962804	0.0	0.002644357901822203	0.0	0.011010638297872341	0.025461214802028266	0.0	0.018082663605051664	0.0	0.019499588864090214	0.005040784529374026	0.0	0.0	0.0	0.06638946638946638	0.017884055058776247	0.02269027269027269	0.01939315208314002	0.0	0.004766857340960305	0.0	0.0	0.0	0.0	0.0	0.006748040091297013	0.012015865608959403	0.0	0.01694915254237288	0.0	0.01085530239770965	0.0041401744787816054	0.0	0.010568031704095112	0.00421179302045728	0.0	0.0155029296875	0.0	0.00421179302045728	0.10725552050473186	0.03089143865842895	0.0103788920845317	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptoniphilaceae;g__Anaerococcus;s__octavius	0.03217602176613237	0.011912640635340834	0.0	0.013021424786130668	0.012520121624038634	0.0	0.015677157844539817	0.014857310973815829	0.0043752103466512815	0.0	0.0376063829787234	0.10524328406516345	0.0	0.018441446613088403	0.009387787852042044	0.09984729237636555	0.0	0.0	0.0	0.0	0.07997227997227997	0.026122777052145083	0.029812779812779813	0.014660851814048437	0.0	0.013607210955104872	0.0	0.0	0.02275972866833274	0.0	0.0	0.009477026892924482	0.0	0.0	0.03272490221642764	0.0032988644293598934	0.009781701061672433	0.006136330031051309	0.0	0.03353882283869074	0.0	0.030441400304414	0.005859375	0.0	0.008498796630565584	0.0	0.0	0.03576341127922971	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptoniphilaceae;g__Anaerococcus;s__sp._HMT_290	0.0	0.0	0.0	0.0	0.0	0.0	0.03427515498330949	0.0	0.0	0.0	0.003457446808510638	0.0	0.0	0.0068168771526980485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056264442881543255	0.0	0.0	0.0034148490857016964	0.0	0.0	0.0	0.0	0.0	0.0	0.015331944030961596	0.0	0.0	0.010430247718383311	0.0	0.0	0.00731923702498891	0.0	0.006531630706003229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__aureus	0.014254450819187319	0.0	0.0	0.0	0.24664639599356109	0.0	0.0	0.0	0.2930429347564787	0.0	0.0	0.15546445139713022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04202279202279202	0.0	0.0	0.0	0.5572635135135136	0.0	0.0	0.1548872180451128	0.0	0.15426218120472363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5578111209179171	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__aerogenes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05943850581463644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__propinquum	0.0	0.0	0.0	0.16450904686198803	0.0	0.0	0.0	0.0	0.11914034328573489	0.0	0.0	0.0	0.17253868949621337	0.0	0.0	0.0	0.0	0.015691868758915834	0.0	0.7839450574195002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07265262406283471	0.0	0.19105842822475266	0.0	0.0	0.5005060728744939	0.0	0.04390027279071243	0.0	0.1335206269407068	0.0	0.0	0.0	0.0	0.0	0.3588943379402586	0.26248495788206977	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__capitis	0.10066836221683327	0.0	0.0	0.0	0.0	0.0	0.036599904625655696	0.0	0.0	0.0	0.0	0.0	0.4119196575567995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01971167990585466	0.0	0.0	0.010106382978723405	0.0	0.0	0.0	0.0	0.0036414894866674498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010974591435047119	0.0	0.0	0.0	0.0	0.0	0.02886962890625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__;__	0.0	0.02815715059262379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018506940102538453	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__ureolyticus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016916740217711092	0.0	0.0	0.012606382978723404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02691650390625	0.0	0.0	0.0	0.0	0.01744404151556834	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__kroppenstedtii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004202127659574468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027436478587617797	0.0	0.0	0.0	0.032920749527247724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002612277705214508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30470685383980184
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__pseudodiphtheriticum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1723593570608496	0.0	0.0	0.8690312528640821	0.0	0.0	0.0	0.0	0.13583844067115441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008633521881512354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__warneri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01937019204161824	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__bovis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045307443365695796	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__sp._HMT_064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.520904202787227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14899200763449838	0.0	0.0	0.0	0.020113460546673543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;__	0.0	0.017086817880993924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__yeei	0.0	0.0	0.0	0.0	0.0	0.0	0.004887935145445875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023499068634474853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023293794051916797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22295623451692817
